b'id',b'created_at',b'retweet_count',b'text',Sentiment,ProbPos,ProbNeg,StockDate
723242317050683392,2016-04-21 20:09:40,7,b'Alphabet on pace for its worst negative gap (-5.1%) following earnings since January 2012 (-7.7%). $GOOGL',neg,0.0142,0.9858,2016-04-22
723230509095067649,2016-04-21 19:22:44,0,b'@bbarberayr You can see charts for each sector within the post: https://t.co/OcL8Z9Pmro',neg,0.4399,0.5601,2016-04-22
723229964162764800,2016-04-21 19:20:35,2,b'IBM $IBM now up 5% off its intraday lows on Tuesday morning following earnings.',neg,0.2427,0.7573,2016-04-22
723229184235962369,2016-04-21 19:17:29,1,"b""Start a free trial to see additional sector analysis in today's Bespoke Sector Snapshot.  One-click below: https://t.co/Iz6aptf16p""",pos,0.5531,0.4469,2016-04-22
723228928576344067,2016-04-21 19:16:28,4,"b'Seeing serious weakness in high-dividend defensive sectors.  Utilities, Telcos, Staples: https://t.co/WcY4FxnQii https://t.co/6NM0lAamD2'",neg,0.3382,0.6618,2016-04-22
723228069419425792,2016-04-21 19:13:03,5,"b'Utilities sector down 5% over the last two days, but still up 8%+ YTD.  Just 28% of stocks above 50-DMAs now: https://t.co/7qzLHAuLUr'",neg,0.2408,0.7592,2016-04-22
723225696445861888,2016-04-21 19:03:37,6,"b""Here's our updated Think B.I.G. post on current and historical S&amp;P 500 sector weightings: https://t.co/OcL8Z9Pmro https://t.co/IYQmW9j9t7""",neg,0.1493,0.8507,2016-04-22
723216616834490368,2016-04-21 18:27:32,8,b'S&amp;P 500 Health Care sector cumulative A/D line hit a one-year high yesterday. $XLV https://t.co/LY1DSNLkRl',neg,0.4008,0.5992,2016-04-22
723166424550744064,2016-04-21 15:08:06,2,b'The Latest Chinese Financial Market Excitement: Steel Rebar Futures\nhttps://t.co/2PsZW8Jj2a',pos,0.5376,0.4624,2016-04-22
723157117339766785,2016-04-21 14:31:07,5,b'RT @Bespoke_Weather: NAT GAS EIA DATA HIT: +7 bcf net implied flow for wk ending April 15 vs. BWS estimate of 6 bcf and market estimates fr\xe2\x80\xa6',pos,0.9313,0.0687,2016-04-22
